Date : 2022-05-31 21:51:02
Directory : c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project
Total : 98 files,  19111 codes, 12123 comments, 3940 blanks, all 35174 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Python   |         97 |     19,058 |     12,123 |      3,940 |     35,121 |
| XML      |          1 |         53 |          0 |          0 |         53 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                                                                                   | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                                                                      |         98 |     19,111 |     12,123 |      3,940 |     35,174 |
| connect_four_mini_max_nn                                                                                                                                                                                                                               |         14 |        787 |        281 |        210 |      1,278 |
| connect_four_mini_max_nn\.idea                                                                                                                                                                                                                         |          1 |         53 |          0 |          0 |         53 |
| connect_four_mini_max_nn\src                                                                                                                                                                                                                           |         13 |        734 |        281 |        210 |      1,225 |
| venv                                                                                                                                                                                                                                                   |         84 |     18,324 |     11,842 |      3,730 |     33,896 |
| venv\Lib                                                                                                                                                                                                                                               |         84 |     18,324 |     11,842 |      3,730 |     33,896 |
| venv\Lib\site-packages                                                                                                                                                                                                                                 |         84 |     18,324 |     11,842 |      3,730 |     33,896 |
| venv\Lib\site-packages\mouseinfo                                                                                                                                                                                                                       |          2 |        566 |        172 |        169 |        907 |
| venv\Lib\site-packages\pyautogui                                                                                                                                                                                                                       |          6 |      1,875 |      1,139 |        452 |      3,466 |
| venv\Lib\site-packages\pygetwindow                                                                                                                                                                                                                     |          3 |        491 |        177 |        209 |        877 |
| venv\Lib\site-packages\pymsgbox                                                                                                                                                                                                                        |          2 |        369 |        107 |        121 |        597 |
| venv\Lib\site-packages\pyperclip                                                                                                                                                                                                                       |          2 |        443 |        170 |        141 |        754 |
| venv\Lib\site-packages\pyrect                                                                                                                                                                                                                          |          1 |        870 |        451 |        142 |      1,463 |
| venv\Lib\site-packages\pyscreeze                                                                                                                                                                                                                       |          1 |        391 |        156 |         94 |        641 |
| venv\Lib\site-packages\pytweening                                                                                                                                                                                                                      |          1 |        210 |        312 |         73 |        595 |
| venv\Lib\site-packages\tensorflow_estimator                                                                                                                                                                                                            |         66 |     13,109 |      9,158 |      2,329 |     24,596 |
| venv\Lib\site-packages\tensorflow_estimator\_api                                                                                                                                                                                                       |         15 |        218 |         50 |         40 |        308 |
| venv\Lib\site-packages\tensorflow_estimator\_api\v1                                                                                                                                                                                                    |          8 |        134 |         31 |         29 |        194 |
| venv\Lib\site-packages\tensorflow_estimator\_api\v1\estimator                                                                                                                                                                                          |          6 |        127 |         27 |         24 |        178 |
| venv\Lib\site-packages\tensorflow_estimator\_api\v1\estimator\experimental                                                                                                                                                                             |          1 |         19 |          4 |          4 |         27 |
| venv\Lib\site-packages\tensorflow_estimator\_api\v1\estimator\export                                                                                                                                                                                   |          1 |         15 |          7 |          4 |         26 |
| venv\Lib\site-packages\tensorflow_estimator\_api\v1\estimator\inputs                                                                                                                                                                                   |          1 |          8 |          4 |          4 |         16 |
| venv\Lib\site-packages\tensorflow_estimator\_api\v1\estimator\tpu                                                                                                                                                                                      |          2 |         19 |          8 |          8 |         35 |
| venv\Lib\site-packages\tensorflow_estimator\_api\v1\estimator\tpu\experimental                                                                                                                                                                         |          1 |          7 |          4 |          4 |         15 |
| venv\Lib\site-packages\tensorflow_estimator\_api\v2                                                                                                                                                                                                    |          6 |         84 |         19 |         10 |        113 |
| venv\Lib\site-packages\tensorflow_estimator\_api\v2\estimator                                                                                                                                                                                          |          4 |         82 |         15 |          7 |        104 |
| venv\Lib\site-packages\tensorflow_estimator\_api\v2\estimator\experimental                                                                                                                                                                             |          1 |         13 |          4 |          2 |         19 |
| venv\Lib\site-packages\tensorflow_estimator\_api\v2\estimator\export                                                                                                                                                                                   |          1 |         10 |          7 |          2 |         19 |
| venv\Lib\site-packages\tensorflow_estimator\_api\v2\estimator\inputs                                                                                                                                                                                   |          1 |          0 |          0 |          1 |          1 |
| venv\Lib\site-packages\tensorflow_estimator\python                                                                                                                                                                                                     |         50 |     12,884 |      9,104 |      2,285 |     24,273 |
| venv\Lib\site-packages\tensorflow_estimator\python\estimator                                                                                                                                                                                           |         49 |     12,884 |      9,104 |      2,284 |     24,272 |
| venv\Lib\site-packages\tensorflow_estimator\python\estimator\api                                                                                                                                                                                       |         15 |        225 |         54 |         43 |        322 |
| venv\Lib\site-packages\tensorflow_estimator\python\estimator\api\_v1                                                                                                                                                                                   |          8 |        134 |         31 |         29 |        194 |
| venv\Lib\site-packages\tensorflow_estimator\python\estimator\api\_v1\estimator                                                                                                                                                                         |          6 |        127 |         27 |         24 |        178 |
